Unnamed: 0,hh_ha,pers_ha,pt_dis,station_dis,lat,lng,geometry,migros,coop,discounter,other,competitors,all_supermarkets,number_companies,migros_500m,coop_500m,discounter_500m,other_500m,number_companies_500m
84661,0,0,0,3515,47.3664,8.49691,POINT (47.3664 8.49691),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
85618,0,0,0,4160,47.4166,8.53833,POINT (47.4166 8.53833),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1
90391,0,0,0,3890,47.413,8.53594,POINT (47.413 8.53594),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
94049,0,0,0,4000,47.4141,8.54126,POINT (47.4141 8.541259999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0,4
94700,0,0,0,5415,47.3985,8.47503,POINT (47.3985 8.47503),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
97018,0,0,0,3690,47.4176,8.55425,POINT (47.4176 8.55425),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,5
97432,0,0,0,4880,47.4089,8.49411,POINT (47.4089 8.494109999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
98786,0,0,0,3730,47.4116,8.54419,POINT (47.4116 8.54419),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,3.0,1.0,5
98788,0,0,0,3735,47.4116,8.54485,POINT (47.4116 8.54485),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,3.0,1.0,5
103706,0,0,0,4045,47.4147,8.55121,POINT (47.4147 8.551209999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,6
105780,0,0,0,2915,47.4036,8.53111,POINT (47.4036 8.53111),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
105981,0,0,0,2050,47.36,8.53551,POINT (47.36 8.53551),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,5
108764,0,0,0,5075,47.3613,8.60272,POINT (47.3613 8.60272),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
110053,0,0,0,3795,47.4106,8.55576,POINT (47.4106 8.555759999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
110774,0,0,0,2330,47.4309,8.57375,POINT (47.4309 8.57375),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,3
110949,0,0,0,3305,47.392,8.50139,POINT (47.392 8.501390000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0
111620,0,0,0,8480,47.3657,8.42938,POINT (47.3657 8.42938),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
114700,0,0,0,3255,47.4228,8.57689,POINT (47.4228 8.576890000000001),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
115539,0,0,0,2185,47.4308,8.55884,POINT (47.4308 8.55884),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8
115661,0,0,0,3700,47.4107,8.55079,POINT (47.4107 8.550789999999999),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,0.0,3
117117,0,0,0,6980,47.4007,8.45388,POINT (47.4007 8.45388),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5
117144,0,0,0,3575,47.4182,8.56189,POINT (47.4182 8.56189),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4
117377,0,0,0,810,47.3727,8.54735,POINT (47.3727 8.54735),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,3
