company_name,company_address,company_ltd,company_lng,company_verified,company_coordinates
ABSS Schwarz Architekten AG,"Zollikerstrasse 153, P.O. Box: 8008, Zurich",,,,
Advokatur & Rechtsberatung TRIAS AG,"Flüelastrasse 51, P.O. Box: 8047, Zurich",,,,
Alpha,"Buchholzstrasse 171, P.O. Box: 8053, Zurich",,,,
Aschkenasy Schlomo,"Klosbachstrasse 104, P.O. Box: 8032, Zurich",,,,
BridgeBond Securities,"Stockerstrasse 45, Zurich",,,  Verified,"47 22m 5.16504s N, 8 32m 3.11244s E"
CURRY HOUSE,"Zypressenstrasse 52, P.O. Box: 8004, Zurich",,,,
danceup Tanzschule,"Triemlistrasse 155, P.O. Box: 8047, Zurich",,,,
Destructa AG,"Amazonenstrasse 6, P.O. Box: 8051, Zurich",,,,
"Detektivbüro für Wirtschaft & Kriminalistik, D. Senn","Rotachstrasse 23, P.O. Box: 8003, Zurich",,,,
dierealisatorin.ch gmbh,"Letzigraben 136, P.O. Box: 8047, Zurich",,,,
Eppler Maler AG,"Brunngasse 4, P.O. Box: 8001, Zurich",,,,
First Choice Catering,"Birchstrasse 230, P.O. Box: 8050, Zurich",,,,
Fotoplast AG,"Dreikönigstrasse 21, P.O. Box: 8002, Zurich",,,,
Fotostudio Creative-Imaging,"Zürichbergstrasse 17, P.O. Box: 8032, Zurich",,,,
Glättli Manfred,"Imbisbühlstrasse 7, P.O. Box: 8049, Zurich",,,,
Grotto Reale Ristorante,"Martastrasse 145, P.O. Box: 8003, Zurich",,,,
Kull & Loosli AG,"Am Wasser 55, P.O. Box: 8049, Zurich",,,,
Linggi Jürg (-Marty),"Albisstrasse 26, P.O. Box: 8038, Zurich",,,,
Lithop Electronic Media AG,"Seefeldstrasse 94, Zurich",,,  Verified,"47 21m 35.51s N, 8 33m 6.48942s E"
Migrol AG,"Badenerstrasse 569, P.O. Box: 8048, Zurich",,,,
Morina Parkett GmbH,"Zentralstrasse 43, P.O. Box: 8003, Zurich",,,,
Moser & Partner GmbH,"Baumackerstrasse 35, P.O. Box: 8050, Zurich",,,,
MS FINANZ Group AG,"Badenerstrasse 697, P.O. Box: 8048, Zurich",,,,
"MSK-Kaffeekonzepte für Büro, Industrie + Gewerbe","Binzmühlestrasse 399, P.O. Box: 8046, Zurich",,,,
MS Müller Support Zürich,"Bruderwies 31, P.O. Box: 8041, Zurich",,,,
Müller Bruno S. (-Camenzind),"Plattenstrasse 42, P.O. Box: 8032, Zurich",,,,
Profil Promotion,"Kalchbühlstrasse 20, P.O. Box: 8038, Zurich",,,,
"Rüden, z.","Limmatquai 42, P.O. Box: 8001, Zurich",,,,
Schwarzenbach-Auktionen AG,"Merkurstrasse 64, P.O. Box: 8032, Zurich",,,,
Schütz Beat,"Wohllebgasse 5, P.O. Box: 8001, Zurich",,,,
Schärli Ulrich,"Giblenstrasse 3, P.O. Box: 8049, Zurich",,,,
Schweizer Online Firmenverzeichnis,Zurich,,,  Verified,"47 22m 28.016s N, 8 32m 27.7519s E"
SinoQi Zentrum für Chinesische Medizin TCM,"Lintheschergasse 21 Am Bahnhofplatz, P.O. Box: 8001, Zurich",,,,
Spillmann Druck AG,"Baslerstrasse 104, P.O. Box: 8048, Zurich",,,,
Thieme-Klima AG,"Bändlistrasse 86, P.O. Box: 8064, Zurich",,,,
Troostwijk AG,"Seefeldstrasse 45, P.O. Box: 8008, Zurich",,,,
tur & partner,"Dufourstrasse 131, P.O. Box: 8008, Zurich",,,,
Wepro AG,"Schaffhauserstrasse 239, P.O. Box: 8057, Zurich",,,,
Wolfensberger Christoph,"Bodmerstrasse 2 /Ecke Genferstr, P.O. Box: 8002, Zurich",,,,
Zäch Elektro & Telecom AG,"Waserstrasse 95, P.O. Box: 8053, Zurich",,,,
Zitt Jürg Nachfolger D. Hüsser Elektromotoren,"Eichstrasse 3, P.O. Box: 8045, Zurich",,,,
A. A. Abbt & P. J. Ryffel,"Bahnhofplatz 15, P.O. Box: 8001, Zurich",,,,
A. Aaron Abbt & Philip Ryffel,"Bahnhofplatz 15, P.O. Box: 8001, Zurich",,,,
AAB Anonyme Aids-Beratung Zürcher Aids-Hilfe,"Kanzleistrasse 80, P.O. Box: 8004, Zurich",,,,
A. Baltensperger AG,"Langmauerstrasse 65, P.O. Box: 8006, Zurich",,,,
Abay Michael,"Bahnhofstrasse 56, P.O. Box: 8001, Zurich",,,,
ABC-FACILITY Services AG,"Badenerstrasse 580, P.O. Box: 8048, Zurich",,,,
