geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,formatted_address,name,rating,search_name,search_postal_code
47.45204077989273,8.539824779892722,"Hofwisenstrasse 42, 8153 Rümlang, Switzerland",ALDI RÜMLANG,4.2,ALDI, 8002
47.40428422989272,8.407233329892723,"Zürcherstrasse 55, 8953 Dietikon, Switzerland",ALDI DIETIKON,4.1,ALDI, 8003
47.27878847989272,8.61907052989272,"General-Wille-Strasse 144, 8706 Meilen, Switzerland",ALDI MEILEN,4.3,ALDI, 8008
47.27418237989271,8.448101529892723,"Industriestrasse 5, 8910 Affoltern am Albis, Switzerland",ALDI AFFOLTERN A. A.,4.0,ALDI, 8045
47.48313997989272,8.467704129892722,"Ruchwiesenstrasse 5, 8157 Dielsdorf, Switzerland",ALDI DIELSDORF,4.3,ALDI, 8046
47.38685997989272,8.397323679892722,"Bernstrasse 378, 8953 Dietikon, Switzerland",ALDI DIETIKON,4.2,ALDI, 8047
47.37771987989272,8.54535912989272,"Niederdorfstrasse 88, 8001 Zürich, Switzerland",DENNER EXPRESS,4.1,DENNER, 8001
47.37415252989273,8.530804129892722,"Werdstrasse 36, 8004 Zürich, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8002
47.36314347989272,8.519194729892723,"Uetlibergstrasse 102, 8045 Zürich, Switzerland",DENNER EXPRESS,4.1,DENNER, 8002
47.35972332989272,8.519313429892723,"Giesshübelstrasse 65, 8045 Zürich, Switzerland",DENNER DISCOUNT,4.4,DENNER, 8002
47.37628167989272,8.52483232989272,"Wengistrasse 7, 8004 Zürich, Switzerland",DENNER EXPRESS,4.0,DENNER, 8002
47.38092392989272,8.528470129892723,"Sihlhallenstrasse 5/7, 8004 Zürich, Switzerland",DENNER EXPRESS,4.0,DENNER, 8002
47.34590507989272,8.532130529892722,"Etzelstrasse 6, 8038 Zürich, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8002
47.38467597989272,8.53221137989272,"Josefstrasse 92, 8005 Zürich, Switzerland",DENNER EXPRESS,4.1,DENNER, 8002
47.38522582989273,8.533314829892722,"Fierzgasse 18, 8005 Zürich, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8002
47.38676937989273,8.533440029892722,"Limmatstrasse 152, 8005 Zürich, Switzerland",DENNER DISCOUNT,4.3,DENNER, 8002
47.37797367989272,8.528476979892723,"Molkenstrasse 8, 8004 Zürich, Switzerland",DENNER EXPRESS,4.1,DENNER, 8002
47.36477317989272,8.551705529892722,"Kreuzstrasse 40, 8008 Zürich, Switzerland",DENNER EXPRESS,4.1,DENNER, 8002
47.37142512989271,8.510063529892722,"Birmensdorferstrasse 320, 8055 Zürich, Switzerland",DENNER DISCOUNT,4.1,DENNER, 8002
47.36580882989273,8.557000629892725,"Apollostrasse 2, 8032 Zürich, Switzerland",DENNER EXPRESS,4.2,DENNER, 8002
47.37047307989272,8.55728902989272,"Hottingerstrasse 52, 8032 Zürich, Switzerland",DENNER EXPRESS,4.5,DENNER, 8002
47.37051307989271,8.504347429892722,"Birmensdorferstrasse 406, 8055 Zürich, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8002
47.38779982989271,8.50033082989272,"Baslerstrasse 50, 8048 Zürich, Switzerland",DENNER DISCOUNT,4.0,DENNER, 8002
47.35972487989272,8.57306052989272,"Forchstrasse 261, 8032 Zürich, Switzerland",DENNER EXPRESS,4.3,DENNER, 8002
47.37732657989272,8.485424129892722,"Bockhornstrasse 1, 8047 Zürich, Switzerland",DENNER DISCOUNT,4.1,DENNER, 8002
47.38047332989272,8.561065079892723,"Toblerstrasse 76, 8044 Zürich, Switzerland",DENNER EXPRESS,4.0,DENNER, 8002
47.37786467989272,8.49882542989272,"Letzigraben 120, 8047 Zürich, Switzerland",DENNER DISCOUNT,4.3,DENNER, 8003
47.39411242989271,8.529887229892719,"Landenbergstrasse 22, 8037 Zürich, Switzerland",DENNER EXPRESS,4.1,DENNER, 8003
47.39021377989273,8.540323029892724,"Schaffhauserstrasse 11, 8006 Zürich, Switzerland",DENNER EXPRESS,4.1,DENNER, 8003
47.38860022989273,8.48737602989272,"Lindenpl. 4, 8048 Zürich, Switzerland",DENNER EXPRESS,4.0,DENNER, 8003
47.38975262989272,8.488215879892723,"im OG, Altstetterstrasse 145, 8048 Zürich, Switzerland",DENNER DISCOUNT,4.3,DENNER, 8003
47.39211027989273,8.54649202989272,"Winterthurerstrasse 83, 8006 Zürich, Switzerland",DENNER EXPRESS,4.3,DENNER, 8003
47.38719687989272,8.493901079892723,"Badenerstrasse 621, 8048 Zürich, Switzerland",DENNER DISCOUNT,4.5,DENNER, 8003
47.40038612989272,8.533943429892723,"Hofwiesenstrasse 135, 8057 Zürich, Switzerland",DENNER EXPRESS,3.9,DENNER, 8004
47.40324897989272,8.500836429892722,"Limmattalstrasse 177, 8049 Zürich, Switzerland",DENNER EXPRESS,4.1,DENNER, 8005
47.40463282989271,8.49962432989272,"Regensdorferstrasse 16, Einkaufszentrum, 8049 Zürich, Switzerland",DENNER DISCOUNT,4.3,DENNER, 8005
47.41285422989273,8.527945979892722,"Regensbergstrasse 309, 8050 Zürich, Switzerland",DENNER DISCOUNT,4.0,DENNER, 8005
47.39320982989272,8.486198879892722,"Hohlstrasse 610, 8048 Zürich, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8005
47.40877867989272,8.54985412989272,"Schwamendingenstrasse 24, 8050 Zürich, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8006
47.40582207989272,8.57583367989272,"Winterthurerstrasse 549, 8051 Zürich, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8006
47.35972192989273,8.587641229892721,"Witikonerstrasse 299, Einkaufszentrum Witikon, 8053 Zürich, Switzerland",DENNER DISCOUNT,4.3,DENNER, 8032
47.31670372989273,8.531897029892724,"Tiefackerstrasse 20, 8134 Adliswil, Switzerland",DENNER DISCOUNT,4.1,DENNER, 8038
47.32195757989272,8.523387729892722,"Soodstrasse 52, 8134 Adliswil, Switzerland",DENNER EXPRESS,4.0,DENNER, 8041
47.31364442989273,8.525687229892723,"Florastrasse 10 Ladenzentrum Bahnhof, 8134 Adliswil, Switzerland",DENNER DISCOUNT,4.0,DENNER, 8041
47.42143337989272,8.509733179892722,"In Böden 174, 8046 Zürich, Switzerland",DENNER DISCOUNT,4.3,DENNER, 8046
47.41008602989272,8.464603929892723,"Ladengasse 1, 8102 Oberengstringen, Switzerland",DENNER DISCOUNT,4.0,DENNER, 8049
47.41201972989272,8.544487129892719,"Hofwiesenstrasse 350, 8050 Zürich, Switzerland",DENNER DISCOUNT,4.1,DENNER, 8050
47.42247187989272,8.550831379892722,"Schaffhauserstrasse 491, 8052 Zürich, Switzerland",DENNER DISCOUNT,4.1,DENNER, 8050
47.42252422989272,8.55888602989272,"Thurgauerstrasse 106, 8152 Opfikon, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8050
47.42850382989272,8.547971729892721,"Glattalstrasse 76, 8052 Zürich, Switzerland",DENNER EXPRESS,4.0,DENNER, 8050
47.40534397989273,8.573934979892721,"Winterthurerstrasse 524, 8051 Zürich, Switzerland",DENNER DISCOUNT,5.0,DENNER, 8050
47.42961637989273,8.575327279892722,"Wallisellerstrasse 114/116, 8152 Opfikon, Switzerland",DENNER PARTNER,4.3,DENNER, 8050
47.41564892989272,8.592279729892724,"Bahnhofstrasse 9, 8304 Wallisellen, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8050
47.40130492989272,8.589127429892722,"Dübendorfstrasse 271, 8051 Zürich, Switzerland",DENNER DISCOUNT,4.4,DENNER, 8050
